"","bust_C","shouldercircumference","Buttocks..circumference","hip_C","waist_C","Size"
"17",33,42,38,38,30,"M"
"21",43,44,44,45,40,"XL"
"24",38,42,41,44,38,"XL"
"27",33,38,36,36,29,"L"
"42",39,41,39,43,34,"M"
"47",37,44,41,41,32,"L"
"53",45,44,46,40,32,"L"
"54",43,43,42,46,39,"XL"
"55",40,43,41,43,35,"M"
"61",34,41,39,40,32,"L"
"63",37,36,41,44,36,"L"
"65",38,41,40,43,34,"L"
"67",40,41,38,40,32,"L"
"77",42,43,40,44,36,"XL"
"79",44,44,41,46,39,"M"
"98",42,44,40,42,39,"XL"
"99",37,41,41,39,35,"L"
"103",34,40,37,44,30,"L"
"104",43,43,38,39,37,"L"
"105",36,41,37,33,32,"L"
"125",33,37,36,41,30,"L"
"140",39,39,41,40,36,"L"
"143",38,41,38,46,34,"M"
"145",33,38,36,41,29,"L"
"149",39,41,43,40,38,"L"
"151",35,40,37,44,29,"L"
"153",37,40,40,42,30,"M"
"154",37,39,38,43,32,"L"
"157",39,41,43,48,41,"XL"
"171",40,44,42,46,37,"XL"
"187",38,42,39,49,32,"L"
"194",39,40,42,46,36,"XL"
"199",36,42,40,43,33,"L"
"200",41,43,45,42,39,"XL"
"201",35,42,40,46,35,"L"
"204",35,39,38,41,34,"L"
"211",34,37,38,42,31,"L"
"217",37,43,42,46,31,"L"
"219",36,38,37,43,32,"L"
"233",38,42,42,38,36,"L"
"246",34,38,36,45,29,"L"
"249",39,40,40,44,41,"XL"
"251",33,37,35,49,26,"L"
"260",33,37,36,37,28,"M"
"265",39,43,40,49,34,"M"
"266",43,42,44,46,40,"M"
"267",36,40,40,36,31,"L"
"269",40,40,42,47,37,"XL"
"278",39,40,42,40,38,"L"
"285",43,45,46,48,43,"XL"
"292",34,40,39,38,31,"M"
"293",34,39,38,42,31,"L"
"301",39,44,43,32,37,"L"
"305",37,40,37,39,33,"L"
"314",37,41,41,40,33,"L"
"316",39,43,43,41,37,"L"
"322",39,41,44,35,33,"L"
"340",36,37,38,37,31,"L"
"345",42,42,37,45,35,"XL"
"346",35,38,38,38,31,"L"
"348",39,41,39,45,34,"L"
"357",40,43,41,42,39,"M"
"369",37,41,40,37,32,"L"
"378",33,38,38,40,31,"M"
"381",34,37,35,42,27,"L"
"382",42,41,47,48,42,"XL"
"384",38,41,38,39,34,"L"
"386",38,42,41,47,33,"L"
"387",41,41,45,46,41,"XL"
"388",39,42,44,36,36,"L"
"392",40,43,42,40,38,"L"
"394",40,42,43,45,37,"XL"
"405",37,41,39,43,32,"L"
"406",38,42,42,38,36,"L"
"412",37,39,38,41,31,"M"
"419",41,41,41,44,33,"L"
"427",36,43,44,37,34,"M"
"429",35,39,37,40,31,"M"
"432",39,42,44,38,36,"L"
"439",35,39,38,39,32,"L"
"445",35,41,38,39,29,"L"
"446",41,44,44,43,39,"XL"
"449",35,41,39,44,31,"L"
"453",35,40,38,41,29,"L"
"458",31,38,37,45,28,"L"
"460",35,40,40,43,32,"L"
"467",34,40,38,40,32,"L"
"476",41,43,40,39,33,"M"
"477",39,41,38,39,33,"L"
"480",44,44,45,41,37,"XL"
"481",36,40,40,39,33,"L"
"482",39,43,42,40,39,"L"
"488",38,42,40,40,32,"L"
"489",35,39,39,44,32,"L"
"490",41,42,42,48,33,"XL"
"491",41,42,45,37,40,"L"
"495",37,40,37,44,32,"M"
"498",37,39,40,39,33,"L"
